brand;circle;region;area;branch;micro_cluster;outlet_code;outlet_name;dse_code;dse_category;saldo_mtd;saldo_lmtd;lowstock_flag_mtd;lowstock_flag_lmtd;sellin_mtd;sellin_lmtd;ga_mtd;ga_lmtd;flag_100mb_usg_mtd;flag_500mb_usg_mtd;tag_n_go_hit;tag_n_go_cashback;tag_n_go_desa_hit;tag_n_go_desa_cashback;tag_n_go_voucher_desa_hit;tag_n_go_voucher_cashback;seru_hit;seru_cashback;cuanbooster_hit;cuanbooster_cashback;cvm_hit;cvm_cashback;lombok_hit;lombok_cashback;biometric_mtd;biometric_lmtd;flag_500mb_usg_lmtd;tag_n_go_3id_manual_hit;tag_n_go_3id_manual_cashback;tag_n_go_biometrik_hit;tag_n_go_biometrik_cashback;unique_participant_program;participant program;;;MC;ID;Nama
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17712694;KIOS PUTRI TUKE;2613050567;PJP DSE;73501;370580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17585084;Rhanos cell;2613050567;PJP DSE;108164;109039,92;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17738390;KIOS HERIANDEX;2613050567;PJP DSE;236270;131440;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17622035;Eldo cell;2613050567;PJP DSE;312206;205990,05;0;0;4;0;7;3;7;5;5;15000;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;0;0;0;0;5;5;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17579628;Adriel  21 payment;2613050567;PJP DSE;211754;275333,91;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17646784;Gunung mas Cell 2;2613050567;PJP DSE;210858;210983,97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17640329;Bryan Cell;2613050567;PJP DSE;13497;84997;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17620374;ACK CELL;2613050567;PJP DSE;113174;5999,51;0;1;4;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17640521;Calvinha cell;2613050567;PJP DSE;12767,13;48470,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17666255;carep point;2613050567;PJP DSE;129567,52;520478,53;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17578479;Duta komputer cell;2613050567;PJP DSE;67983;78968,93;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17738501;ARSY CELL;2613050567;PJP DSE;357727,2;261280,2;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;10000;2;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17619896;Kawong cell;2613050567;PJP DSE;25194;139570;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;2;10000;2;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17578763;Engen cell;2613050567;PJP DSE;128545,31;308875,27;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17666555;Prita Cell;2613050567;PJP DSE;91316,56;7613,64;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17578187;Kios bulkis cell;2613050567;PJP DSE;1043715;556640,96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17811274;GEONATHAN CELL;2613050567;PJP DSE;331690;212750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17806758;Bintang Celuler;2613050567;PJP DSE;345000;368000;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17654449;Syifa cell;2613050567;PJP DSE;260847,58;420928,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17585518;Kios feri cell;2613050567;PJP DSE;529971,46;411192,39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17652016;Keyla Mart;DSE1193-2;PJP DSE;310389,08;338006,25;0;0;10;14;29;4;28;28;26;78000;0;0;0;0;0;0;0;0;0;0;0;0;10;4;4;0;0;2;10000;28;26;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17677182;kios Andi;DSE1193-2;PJP DSE;48448;488317,01;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17610950;Kios Nikol;DSE1193-2;PJP DSE;130541,5;97821,49;0;0;0;0;1;0;1;1;0;0;1;2000;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17560813;Arif jaya cell;DSE1193-2;PJP DSE;349139;535409,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17617044;Bumi tirta;DSE1193-2;PJP DSE;352130;353871;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17623927;Kios Apri;DSE1193-2;PJP DSE;80618;176017,91;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17614573;Duaputra;DSE1193-2;PJP DSE;58771,75;140723,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17560833;Nadinphone cell;DSE1193-2;PJP DSE;1248228,62;954707,08;0;0;12;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17615153;Radhika cell;DSE1193-2;PJP DSE;782483,36;661614,42;0;0;0;0;17;5;14;13;9;27000;0;0;0;0;0;0;0;0;0;0;0;0;14;5;5;0;0;4;20000;13;9;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17596755;Kios muhamad cell;DSE1193-2;PJP DSE;28562,67;332668,73;0;0;0;2;3;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;3;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17623598;KIOS ANANDA;DSE1193-2;PJP DSE;27909,23;308359,25;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17585087;Lian cell;DSE1193-2;PJP DSE;12975;253725;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17758900;Endang cell;DSE1193-2;PJP DSE;327105;211026;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17613483;One cell;DSE1193-2;PJP DSE;492691,3;372374,01;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17614460;Mydita cell;DSE1193-2;PJP DSE;107162;107162,04;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17660800;Liayansa cell;DSE1193-2;PJP DSE;145694,23;262894,34;0;0;5;5;6;1;6;5;4;12000;0;0;0;0;0;0;0;0;0;0;0;0;6;1;1;0;0;2;10000;6;4;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17612158;Diego cell;DSE1193-2;PJP DSE;359161,64;406312,65;0;0;0;4;1;0;0;0;1;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17561629;Muham Cell;DSE1193-2;PJP DSE;117358,25;119738,29;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17613520;OCRN CELL;DSE1193-2;PJP DSE;298800;298800,05;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17754047;Kios Morgancell;DSE1193-2;PJP DSE;73960,02;180210,02;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17804175;Bagus cell;DSE1193-2;PJP DSE;403559;451350;0;0;1;1;2;0;2;2;1;3000;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17664505;Kios amanda;DSE1193-2;PJP DSE;440541,53;52201,53;0;0;0;0;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;;;;;
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17626751;MICKEY CELL;DSE1193-2;PJP DSE;678487,03;1030678,03;0;0;0;0;3;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;0;0;0;0;0;0;;;;;
